"mutation","freq","Mut_AUC_mean","others_AUC_mean","p.value"
"TTN",13,533.327142857143,524.706245546206,0.839
"APC",10,439.672608695652,524.791776540123,0.15
"DST",8,495.295,524.735498655354,0.624
"FAT4",8,420.839166666667,524.76487597046,0.177
"OBSCN",8,493.77,524.737595833333,0.568
"KIAA1109",7,464.676666666667,524.744953607271,0.464
"LRP1",7,497.822307692308,524.730909331919,0.677
"MYCBP2",7,433.586363636364,524.755630159812,0.288
"PCLO",7,511.568,524.725138247102,0.839
"PKHD1L1",7,452.306153846154,524.753319194062,0.322
